,index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,1,"[50, 55[",Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,13,United-States, <=50K
1,7,"[50, 55[",Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,45,United-States, >50K
2,8,"[30, 35[",Private,45781,Masters,14,Never-married,Prof-specialty, Not-in-family,*,Female,14084,0,50,United-States, >50K
3,9,"[40, 45[",Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,5178,0,40,United-States, >50K
4,10,"[35, 40[",Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,80,United-States, >50K
5,12,"[20, 25[",Private,122272,Bachelors,13,Never-married,Adm-clerical, Own-child,*,Female,0,0,30,United-States, <=50K
6,16,"[25, 30[",Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing, Own-child,*,Male,0,0,35,United-States, <=50K
7,17,"[30, 35[",Private,186824,HS-grad,9,Never-married,Machine-op-inspct, Unmarried,*,Male,0,0,40,United-States, <=50K
8,19,"[40, 45[",Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial, Unmarried,*,Female,0,0,45,United-States, >50K
9,20,"[40, 45[",Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,60,United-States, >50K
10,26,"[15, 20[",Private,168294,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
11,28,"[35, 40[",Private,367260,HS-grad,9,Divorced,Exec-managerial, Not-in-family,*,Male,0,0,80,United-States, <=50K
12,29,"[45, 50[",Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
13,31,"[20, 25[",Private,266015,Some-college,10,Never-married,Sales, Own-child,*,Male,0,0,44,United-States, <=50K
14,32,"[45, 50[",Private,386940,Bachelors,13,Divorced,Exec-managerial, Own-child,*,Male,0,1408,40,United-States, <=50K
15,33,"[30, 35[",Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical, Own-child,*,Male,0,0,40,United-States, <=50K
16,34,"[20, 25[",State-gov,311512,Some-college,10,Married-civ-spouse,Other-service, Husband,*,Male,0,0,15,United-States, <=50K
17,36,"[20, 25[",Private,197200,Some-college,10,Never-married,Machine-op-inspct, Own-child,*,Male,0,0,40,United-States, <=50K
18,41,"[50, 55[",Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, <=50K
19,43,"[45, 50[",Private,94638,HS-grad,9,Separated,Adm-clerical, Unmarried,*,Female,0,0,40,United-States, <=50K
20,44,"[25, 30[",Private,289980,HS-grad,9,Never-married,Handlers-cleaners, Not-in-family,*,Male,0,0,35,United-States, <=50K
21,45,"[55, 60[",Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
22,46,"[50, 55[",Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,38,United-States, <=50K
23,47,"[40, 45[",Private,128354,Masters,14,Divorced,Exec-managerial, Unmarried,*,Female,0,0,40,United-States, <=50K
24,48,"[40, 45[",State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
25,53,"[50, 55[",Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial, Not-in-family,*,Male,0,0,55,United-States, >50K
26,55,"[40, 45[",Private,237993,Some-college,10,Married-civ-spouse,Tech-support, Husband,*,Male,0,0,40,United-States, >50K
27,58,"[40, 45[",Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,48,United-States, <=50K
28,59,"[30, 35[",Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,5013,0,40,United-States, <=50K
29,60,"[30, 35[",Private,59496,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,2407,0,40,United-States, <=50K
30,62,"[45, 50[",Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,40,United-States, <=50K
31,63,"[40, 45[",Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,45,United-States, >50K
32,65,"[35, 40[",Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
33,66,"[25, 30[",Private,183175,Some-college,10,Divorced,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
34,67,"[50, 55[",Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical, Wife,*,Female,0,0,40,United-States, >50K
35,68,"[45, 50[",Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
36,72,"[25, 30[",Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,70,United-States, >50K
37,73,"[20, 25[",Private,211678,Some-college,10,Never-married,Machine-op-inspct, Not-in-family,*,Male,0,0,40,United-States, <=50K
38,78,"[15, 20[",Private,309634,11th,7,Never-married,Other-service, Own-child,*,Female,0,0,22,United-States, <=50K
39,80,"[15, 20[",Private,446839,HS-grad,9,Never-married,Sales, Not-in-family,*,Male,0,0,30,United-States, <=50K
40,82,"[45, 50[",Private,51618,HS-grad,9,Married-civ-spouse,Other-service, Wife,*,Female,0,0,40,United-States, <=50K
41,83,"[55, 60[",Private,159937,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,48,United-States, <=50K
42,85,"[50, 55[",Private,346253,HS-grad,9,Divorced,Sales, Own-child,*,Female,0,0,35,United-States, <=50K
43,86,"[45, 50[",Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,United-States, >50K
44,87,"[30, 35[",Private,202051,Masters,14,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,50,United-States, <=50K
45,94,"[30, 35[",Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,United-States, >50K
46,95,"[25, 30[",Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners, Not-in-family,*,Male,0,0,50,United-States, <=50K
47,96,"[45, 50[",Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,1902,60,United-States, >50K
48,97,"[35, 40[",Private,202683,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,48,United-States, >50K
49,99,"[30, 35[",Federal-gov,249409,HS-grad,9,Never-married,Other-service, Own-child,*,Male,0,0,40,United-States, <=50K
50,101,"[40, 45[",Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,15024,0,60,United-States, >50K
51,102,"[45, 50[",Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty, Not-in-family,*,Female,0,0,50,United-States, <=50K
52,103,"[20, 25[",Private,188300,Some-college,10,Never-married,Tech-support, Own-child,*,Female,0,0,40,United-States, <=50K
53,104,"[25, 30[",Private,103432,HS-grad,9,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
54,105,"[30, 35[",Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,7688,0,40,United-States, >50K
55,106,"[15, 20[",?,304873,10th,6,Never-married,?, Own-child,*,Female,34095,0,32,United-States, <=50K
56,108,"[30, 35[",Local-gov,189265,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
57,109,"[40, 45[",Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners, Husband,*,Male,0,0,40,United-States, <=50K
58,110,"[20, 25[",Private,432376,Bachelors,13,Never-married,Sales, Other-relative,*,Male,0,0,40,United-States, <=50K
59,111,"[35, 40[",Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
60,114,"[35, 40[",Private,102864,HS-grad,9,Never-married,Machine-op-inspct, Own-child,*,Female,0,0,40,United-States, <=50K
61,116,"[55, 60[",Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,United-States, <=50K
